0	1	   120
0	2	    66
0	3	   157
0	4	   110
0	5	   300
0	6	   291
1	0	    21
1	2	   234
1	3	    88
1	4	   136
1	5	   175
1	6	   298
2	0	   134
2	1	   310
2	3	    98
2	4	   223
2	5	   212
2	6	   172
3	0	   222
3	1	   212
3	2	    60
3	4	    44
3	5	   315
3	6	    58
4	0	    15
4	1	   179
4	2	   279
4	3	   213
4	5	    64
4	6	   119
5	0	   148
5	1	   310
5	2	    53
5	3	   271
5	4	   205
5	6	   122
6	0	    64
6	1	   138
6	2	   154
6	3	    42
6	4	   188
6	5	    75
