0	1	   143
0	2	    48
0	3	   119
0	4	   118
0	5	    62
0	6	    90
1	0	    16
1	2	    13
1	3	    85
1	4	   122
1	5	   146
1	6	    24
2	0	    90
2	1	    75
2	3	     6
2	4	    55
2	5	    29
2	6	   124
3	0	    51
3	1	    84
3	2	    30
3	4	    95
3	5	    44
3	6	   103
4	0	   109
4	1	   117
4	2	    73
4	3	    17
4	5	    39
4	6	   142
5	0	    28
5	1	   129
5	2	    86
5	3	   155
5	4	    16
5	6	    71
6	0	    21
6	1	   150
6	2	     5
6	3	   122
6	4	   128
6	5	   136
