0	1	    91
0	2	    50
0	3	    118
0	4	    83
0	5	    224
0	6	    217
1	0	    17
1	2	    175
1	3	    67
1	4	    102
1	5	    131
1	6	    222
2	0	    101
2	1	    232
2	3	    74
2	4	    166
2	5	    158
2	6	    129
3	0	    166
3	1	    158
3	2	    46
3	4	    34
3	5	    235
3	6	    44
4	0	    12
4	1	    134
4	2	    208
4	3	    159
4	5	    48
4	6	    90
5	0	    111
5	1	    231
5	2	    41
5	3	    202
5	4	    153
5	6	    91
6	0	    49
6	1	    103
6	2	    116
6	3	    32
6	4	    141
6	5	    57
