0	1	    70
0	2	    25
0	3	    58
0	4	    58
0	5	    32
0	6	    45
1	0	    10
1	2	     8
1	3	    42
1	4	    60
1	5	    71
1	6	    14
2	0	    45
2	1	    38
2	3	     5
2	4	    28
2	5	    16
2	6	    61
3	0	    27
3	1	    42
3	2	    16
3	4	    47
3	5	    23
3	6	    51
4	0	    53
4	1	    58
4	2	    36
4	3	    10
4	5	    21
4	6	    69
5	0	    15
5	1	    63
5	2	    43
5	3	    75
5	4	    10
5	6	    36
6	0	    12
6	1	    73
6	2	     5
6	3	    60
6	4	    63
6	5	    66
